请求 ID,模型,时间,项目名称,项目ID,API Key名称,API Key ID,输入 Tokens,输出 Tokens,Cached Tokens
chatcmpl-6a77b303b3cae5c854115a44,kimi-k3,2026-08-09 06:51:56,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,73468,396,72960
chatcmpl-6a77b2fe7c5695c6eaa5a888,kimi-k3,2026-08-09 06:51:45,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,73073,131,71936
chatcmpl-6a77b2f5b3cae5c854115a3e,kimi-k3,2026-08-09 06:51:40,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,72131,311,71168
chatcmpl-6a77b2e2b3cae5c854115a32,kimi-k3,2026-08-09 06:51:28,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,71382,665,70656
chatcmpl-6a77b2ccb3cae5c854115a27,kimi-k3,2026-08-09 06:50:58,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,70816,241,70400
chatcmpl-6a77b294b3cae5c854115a11,kimi-k3,2026-08-09 06:50:01,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,70592,190,69888
chatcmpl-6a77b27cb3cae5c854115a05,kimi-k3,2026-08-09 06:49:40,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,70104,390,69888
chatcmpl-6a77b24fb3cae5c8541159ef,kimi-k3,2026-08-09 06:48:51,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,69952,118,69376
chatcmpl-6a77b245b3cae5c8541159e9,kimi-k3,2026-08-09 06:48:45,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,69503,387,69120
chatcmpl-6a77b240b3cae5c8541159e5,kimi-k3,2026-08-09 06:48:36,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,69336,109,69120
chatcmpl-6a77b2397c5695c6eaa5a824,kimi-k3,2026-08-09 06:48:28,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,69251,51,68608
chatcmpl-6a77b22db3cae5c8541159e1,kimi-k3,2026-08-09 06:48:23,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,68735,472,68096
chatcmpl-6a77b228b3cae5c8541159df,kimi-k3,2026-08-09 06:48:12,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,68326,159,67584
chatcmpl-6a77b21cb3cae5c8541159d8,kimi-k3,2026-08-09 06:48:07,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,67822,441,67328
chatcmpl-6a77b2127c5695c6eaa5a810,kimi-k3,2026-08-09 06:47:55,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,67371,356,66304
chatcmpl-6a77b1fbb3cae5c8541159c6,kimi-k3,2026-08-09 06:47:38,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,66539,735,66048
chatcmpl-6a77b1f7b3cae5c8541159c3,kimi-k3,2026-08-09 06:47:22,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,66223,93,65536
chatcmpl-6a77b1ed7c5695c6eaa5a7fa,kimi-k3,2026-08-09 06:47:18,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,65620,390,64768
chatcmpl-6a77b1d0b3cae5c8541159a7,kimi-k3,2026-08-09 06:46:52,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,64862,556,64000
chatcmpl-6a77b1cbb3cae5c8541159a4,kimi-k3,2026-08-09 06:46:39,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,64247,137,63488
chatcmpl-6a77b1c2b3cae5c85411599d,kimi-k3,2026-08-09 06:46:34,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,63490,352,62208
chatcmpl-6a77b1bc7c5695c6eaa5a7e4,kimi-k3,2026-08-09 06:46:24,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,62410,160,61440
chatcmpl-6a77b1b37c5695c6eaa5a7dd,kimi-k3,2026-08-09 06:46:19,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,61614,373,60928
chatcmpl-6a77b1ac7c5695c6eaa5a7d7,kimi-k3,2026-08-09 06:46:10,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,61065,257,59904
chatcmpl-6a77b1a17c5695c6eaa5a7d4,kimi-k3,2026-08-09 06:46:03,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,59958,432,59136
chatcmpl-6a77b1997c5695c6eaa5a7cf,kimi-k3,2026-08-09 06:45:52,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,59317,360,58624
chatcmpl-6a77b1507c5695c6eaa5a7a5,kimi-k3,2026-08-09 06:44:43,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,58806,477,57088
chatcmpl-6a77b140b3cae5c85411595f,kimi-k3,2026-08-09 06:44:30,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,57292,582,55808
chatcmpl-6a77b1307c5695c6eaa5a795,kimi-k3,2026-08-09 06:44:15,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,57520,529,55808
chatcmpl-6a77b12bb3cae5c854115950,kimi-k3,2026-08-09 06:43:57,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,55969,74,55808
chatcmpl-6a77b1267c5695c6eaa5a790,kimi-k3,2026-08-09 06:43:53,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,55837,69,55296
chatcmpl-6a77b1197c5695c6eaa5a786,kimi-k3,2026-08-09 06:43:47,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,55345,425,55040
chatcmpl-6a77b1137c5695c6eaa5a782,kimi-k3,2026-08-09 06:43:36,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,55042,222,54272
chatcmpl-6a77b10db3cae5c85411593e,kimi-k3,2026-08-09 06:43:30,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,54443,187,53760
chatcmpl-6a77b100b3cae5c854115939,kimi-k3,2026-08-09 06:43:23,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,53801,478,53248
chatcmpl-6a77b0f5b3cae5c85411592f,kimi-k3,2026-08-09 06:43:11,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,53291,441,52736
chatcmpl-6a77b0e97c5695c6eaa5a769,kimi-k3,2026-08-09 06:42:57,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,52849,343,52480
chatcmpl-6a77b0e37c5695c6eaa5a767,kimi-k3,2026-08-09 06:42:48,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,52570,168,52224
chatcmpl-6a77b0dc7c5695c6eaa5a764,kimi-k3,2026-08-09 06:42:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,52232,233,51712
chatcmpl-6a77b0d8b3cae5c854115917,kimi-k3,2026-08-09 06:42:35,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,51895,96,50944
chatcmpl-6a77b0d0b3cae5c854115914,kimi-k3,2026-08-09 06:42:31,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,51068,239,49920
chatcmpl-6a77b0bab3cae5c854115905,kimi-k3,2026-08-09 06:42:20,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,50155,808,49664
chatcmpl-6a77b0af7c5695c6eaa5a749,kimi-k3,2026-08-09 06:42:00,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,49681,373,49152
chatcmpl-6a77b0a67c5695c6eaa5a746,kimi-k3,2026-08-09 06:41:50,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,49279,336,48896
chatcmpl-6a77b0a17c5695c6eaa5a742,kimi-k3,2026-08-09 06:41:41,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,49050,159,48896
chatcmpl-6a77b0957c5695c6eaa5a73a,kimi-k3,2026-08-09 06:41:27,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,48965,51,48384
chatcmpl-6a77b08aecb35dbc6c25baad,kimi-k3,2026-08-09 06:41:23,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,48584,319,48128
chatcmpl-6a77b0847c5695c6eaa5a731,kimi-k3,2026-08-09 06:41:13,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,48322,178,48128
chatcmpl-6a77b076b3cae5c8541158ce,kimi-k3,2026-08-09 06:40:58,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,48176,112,47616
chatcmpl-6a77b06b7c5695c6eaa5a723,kimi-k3,2026-08-09 06:40:53,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,47705,393,47104
chatcmpl-6a77b0637c5695c6eaa5a71e,kimi-k3,2026-08-09 06:40:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,47348,286,46592
chatcmpl-6a77b05d7c5695c6eaa5a71a,kimi-k3,2026-08-09 06:40:34,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,46678,196,46336
chatcmpl-6a77b0567c5695c6eaa5a714,kimi-k3,2026-08-09 06:40:27,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,46409,209,45568
chatcmpl-6a77b04b7c5695c6eaa5a70d,kimi-k3,2026-08-09 06:40:22,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,45804,421,44800
chatcmpl-6a77b02becb35dbc6c25ba73,kimi-k3,2026-08-09 06:40:00,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,44821,897,43264
chatcmpl-6a77b0107c5695c6eaa5a6f2,kimi-k3,2026-08-09 06:39:38,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,43354,1064,41984
chatcmpl-6a77aff2b3cae5c854115881,kimi-k3,2026-08-09 06:39:10,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,42107,1169,41728
chatcmpl-6a77afeab3cae5c85411587d,kimi-k3,2026-08-09 06:38:41,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,41748,285,40960
chatcmpl-6a77afdf7c5695c6eaa5a6d4,kimi-k3,2026-08-09 06:38:33,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,41208,404,40448
chatcmpl-6a77afd1b3cae5c85411586e,kimi-k3,2026-08-09 06:38:21,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,40628,504,39680
chatcmpl-6a77afc57c5695c6eaa5a6ca,kimi-k3,2026-08-09 06:38:08,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,39769,453,38144
chatcmpl-6a77afba7c5695c6eaa5a6c2,kimi-k3,2026-08-09 06:37:57,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,38392,427,37888
chatcmpl-6a77afae7c5695c6eaa5a6bc,kimi-k3,2026-08-09 06:37:41,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,37966,349,37376
chatcmpl-6a77afa6ecb35dbc6c25ba17,kimi-k3,2026-08-09 06:37:33,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,37601,288,36864
chatcmpl-6a77af99ecb35dbc6c25ba11,kimi-k3,2026-08-09 06:37:25,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,37010,523,36352
chatcmpl-6a77af95ecb35dbc6c25ba10,kimi-k3,2026-08-09 06:37:12,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,36460,95,35840
chatcmpl-6a77af8fb3cae5c854115844,kimi-k3,2026-08-09 06:37:08,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,35998,190,35584
chatcmpl-6a77af887c5695c6eaa5a6a7,kimi-k3,2026-08-09 06:37:02,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,35691,242,35328
chatcmpl-6a77af84b3cae5c85411583b,kimi-k3,2026-08-09 06:36:55,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,35352,96,34560
chatcmpl-6a77af777c5695c6eaa5a69f,kimi-k3,2026-08-09 06:36:50,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,34748,477,33280
chatcmpl-6a77af6ab3cae5c85411582c,kimi-k3,2026-08-09 06:36:38,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,33407,486,32256
chatcmpl-6a77af67b3cae5c854115828,kimi-k3,2026-08-09 06:36:26,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,32309,96,31488
chatcmpl-6a77af63b3cae5c854115824,kimi-k3,2026-08-09 06:36:22,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,31527,111,30976
chatcmpl-6a77af5aecb35dbc6c25ba04,kimi-k3,2026-08-09 06:36:17,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,31097,289,29952
chatcmpl-6a77af44ecb35dbc6c25b9f0,kimi-k3,2026-08-09 06:36:07,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,30126,858,29696
chatcmpl-6a77af3d7c5695c6eaa5a678,kimi-k3,2026-08-09 06:35:46,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,29792,232,28672
chatcmpl-6a77af347c5695c6eaa5a673,kimi-k3,2026-08-09 06:35:40,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,28807,311,28160
chatcmpl-6a77af26b3cae5c8541157fe,kimi-k3,2026-08-09 06:35:29,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,28220,503,27904
chatcmpl-6a77af217c5695c6eaa5a667,kimi-k3,2026-08-09 06:35:17,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,27931,183,27648
chatcmpl-6a77af1bb3cae5c8541157f5,kimi-k3,2026-08-09 06:35:11,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,27669,207,26880
chatcmpl-6a77af15b3cae5c8541157f3,kimi-k3,2026-08-09 06:35:06,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,27126,204,26880
chatcmpl-6a77af102faf3155ef3d8ab8,kimi-k3,2026-08-09 06:34:59,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,26953,110,26624
chatcmpl-6a77af0b7c5695c6eaa5a657,kimi-k3,2026-08-09 06:34:55,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,26745,128,26368
chatcmpl-6a77af03b3cae5c8541157ee,kimi-k3,2026-08-09 06:34:46,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,26607,90,26112
chatcmpl-6a77aef97c5695c6eaa5a64d,kimi-k3,2026-08-09 06:34:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,26165,415,25600
chatcmpl-6a77aef3b3cae5c8541157e3,kimi-k3,2026-08-09 06:34:32,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,25604,195,24576
chatcmpl-6a77aeefb3cae5c8541157e0,kimi-k3,2026-08-09 06:34:27,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,24684,148,23552
chatcmpl-6a77aee37c5695c6eaa5a63f,kimi-k3,2026-08-09 06:34:21,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,23700,486,18176
chatcmpl-6a77aedeb3cae5c8541157d6,kimi-k3,2026-08-09 06:34:10,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,18249,128,16128
chatcmpl-6a77aedb7c5695c6eaa5a638,kimi-k3,2026-08-09 06:34:05,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,16216,64,15360
chatcmpl-6a77aed6b3cae5c8541157d1,kimi-k3,2026-08-09 06:34:02,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,15525,161,14848
chatcmpl-6a77aed1b3cae5c8541157cd,kimi-k3,2026-08-09 06:33:57,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,15024,166,14592
chatcmpl-6a77aeccb3cae5c8541157ca,kimi-k3,2026-08-09 06:33:52,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,14755,167,14336
chatcmpl-6a77aec67c5695c6eaa5a627,kimi-k3,2026-08-09 06:33:47,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,14470,181,12288
chatcmpl-6a77aea2f051a4bda8a0c74a,kimi-k3,2026-08-09 06:33:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,84406,1652,82688
chatcmpl-6a77ae9cf051a4bda8a0c745,kimi-k3,2026-08-09 06:33:03,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,82814,96,82432
chatcmpl-6a77ae98f051a4bda8a0c742,kimi-k3,2026-08-09 06:32:58,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,82676,53,82432
chatcmpl-6a77ae70f051a4bda8a0c71e,kimi-k3,2026-08-09 06:32:19,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,82591,51,82176
chatcmpl-6a77ae66f3154d657bce7eb1,kimi-k3,2026-08-09 06:32:12,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,82317,219,80128
chatcmpl-6a77ae5606e1ba963961b3fa,kimi-k3,2026-08-09 06:31:58,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,134445,393,132864
chatcmpl-6a77ae5006e1ba963961b3f6,kimi-k3,2026-08-09 06:31:47,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,132898,73,132608
chatcmpl-6a77ae4b06e1ba963961b3f3,kimi-k3,2026-08-09 06:31:42,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,132777,94,132608
chatcmpl-6a77ae4706e1ba963961b3f0,kimi-k3,2026-08-09 06:31:38,default,proj-e626b11c63844e458db1e0f9ec55a330,zhikun,ak-f9w8q5r883w111cpz35i,132642,71,132352
